date,1,2,3,4
2020/12/5,8.01,8.19,0,0.09
2020/12/6,8.3,9.61,2,0.21
2020/12/7,7.69,9.55,1.7,0.18
2020/12/8,8.35,10.1,3.1,0.3
2020/12/9,7.02,7.95,2.5,0.1
2020/12/10,7.66,9.02,2.9,0.15
2020/12/11,8.04,9.07,3.3,0.4
2020/12/12,7.92,9.85,1.8,0.19
2020/12/13,7.59,8.22,3.6,0.48
2020/12/14,7.37,9.53,2.4,0.14
2020/12/15,7.61,9.09,3.2,0.12
2020/12/16,7.64,11.5,1.1,0.13
2020/12/17,7.65,9.44,2.5,0.28
2020/12/18,8.01,10.1,1.5,0.19
2020/12/19,7.4,9.02,1.6,0.12
2020/12/20,6.72,6.03,3.6,0.38
2020/12/21,6.96,13.8,1.8,0.16
2020/12/22,8.03,10.8,4.2,1.11
2020/12/23,7.95,9.3,2.2,0.8
2020/12/24,6.33,8.05,2.9,1.08
2020/12/25,7.4,9.17,3,0.41
2020/12/26,8.01,8.13,1.5,0.09
2020/12/27,8.29,9.05,2,0.22
2020/12/28,7.69,9.45,1.8,0.18
2020/12/29,8.35,9.34,3.2,0.3
2020/12/30,6.99,7.11,2.6,0.11
2020/12/31,7.6,8.5,3.3,0.13
2021/1/1,8.01,8.97,2.4,0.48
2021/1/2,7.85,8.81,1.6,0.2
2021/1/3,7.48,7.53,3.4,0.42
2021/1/4,7.27,8.68,2.3,0.13
2021/1/5,7.56,8.78,2.8,0.13
2021/1/6,7.25,10.8,1,0.12
2021/1/7,7.6,8.94,2.4,0.24
2021/1/8,8.02,10.4,1.7,0.18
2021/1/9,7.21,9.02,1.6,0.11
2021/1/10,6.65,5.32,3.4,0.41
2021/1/11,6.81,13,1,0.21
2021/1/12,8.19,9.87,3.8,0.87
2021/1/13,8,8.64,1.9,0.76
2021/1/14,6.36,9.17,2.8,1.01
2021/1/15,7.39,8.78,3,0.43
2021/1/16,7.92,7.2,2,0.09
2021/1/17,8.31,8.72,1.9,0.26
2021/1/18,7.7,9.33,1.9,0.16
2021/1/19,7.79,10.6,3.4,0.28
2021/1/20,7,6.83,2.7,0.1
2021/1/21,7.55,7.85,3.6,0.11
2021/1/22,8.01,8.94,1.5,0.36
2021/1/23,7.93,9.01,1.6,0.2
2021/1/24,7.43,7.45,3.5,0.37
2021/1/25,7.26,8.61,2.5,0.1
2021/1/26,7.72,8.33,2.6,0.11
2021/1/27,7.19,11.2,1.1,0.17
2021/1/28,7.48,8.17,2.6,0.22
2021/1/29,8.1,10.4,0,0.18
2021/1/30,7.39,8.61,1.7,0.15
2021/1/31,6.54,4.33,2.7,0.24
2021/2/1,6.93,12.1,1.1,0.2
2021/2/2,8.35,9.31,3.4,0.71
2021/2/3,7.92,8.07,2.5,0.75
2021/2/4,6.54,8.78,2.6,1.12
2021/2/5,7.41,7.8,2,0.15
2021/2/6,8.34,8.63,1.9,0.1
2021/2/7,8.29,8.45,1.9,0.26
2021/2/8,7.7,9.06,1.4,0.12
2021/2/9,7.41,9.77,1.9,0.32
2021/2/10,7.3,7.17,2.4,0.2
2021/2/11,7.54,6.92,3.1,0.12
2021/2/12,8.06,8,2.7,0.28
2021/2/13,7.91,9.1,0.8,0.18
2021/2/14,7.39,6.84,3.7,0.43
2021/2/15,7.26,7.71,2.1,0.11
2021/2/16,7.84,8.05,4.3,0.18
2021/2/17,7.18,10.5,1.2,0.16
2021/2/18,7.32,7.84,3.5,0.38
2021/2/19,7.95,9.91,1.7,0.2
2021/2/20,7.73,8.8,1.9,0.11
2021/2/21,6.76,5.55,0,0.62
2021/2/22,6.98,15,0.9,0.19
2021/2/23,8.33,13,3.3,0.73
2021/2/24,8.04,8.58,1.5,0.67
2021/2/25,6.82,8.69,2.7,0.82
2021/2/26,7.76,8.55,2.8,0.1
2021/2/27,8.54,8.6,1.1,0.09
2021/2/28,8.32,8.64,1.7,0.17
2021/3/1,7.61,9.21,1.7,0.12
2021/3/2,7.42,10.2,1.8,0.25
2021/3/3,7.13,6.87,3.9,0.13
2021/3/4,7.57,7.98,3.9,0.16
2021/3/5,8.07,8.32,2.4,0.28
2021/3/6,7.86,8.24,2,0.18
2021/3/7,7.32,6.07,4.1,0.73
2021/3/8,7.1,7.66,1.9,0.15
2021/3/9,7.7,7.26,3.1,0.17
2021/3/10,7.11,11.4,1.5,0.11
2021/3/11,7.49,8.76,2.4,0.2
2021/3/12,8.03,9.89,2,0.19
2021/3/13,7.68,8.39,1.8,0.11
2021/3/14,6.52,4.83,4,0.99
2021/3/15,7.03,11.7,1,0.17
2021/3/16,8.74,8.58,2.1,0.37
2021/3/17,7.94,8.18,2.6,0.74
2021/3/18,6.77,8.58,2.3,0.57
2021/3/19,7.87,8.37,2.5,0.32
2021/3/20,8.14,8.47,1,0.08
2021/3/21,8.33,8.82,1.6,0.13
2021/3/22,7.44,8.86,1.6,0.11
2021/3/23,7.29,9.16,2.1,0.22
2021/3/24,7.22,7.02,3.4,0.07
2021/3/25,7.56,7.39,3.3,0.12
2021/3/26,8.14,7.9,2.8,0.24
2021/3/27,7.83,8.38,1.4,0.2
2021/3/28,7.43,6.75,4,0.34
2021/3/29,7.27,8.07,1.7,0.16
2021/3/30,7.65,7.65,3.3,0.2
