1,2,3,4,5,6,7,8,9
8.42,9.52,388.4,41.6,1.39,1.58,8.6,1580,0.069
8.41,9.47,397,38.8,1.43,1.58,8.5,1500,0.069
8.4,9.54,388.8,42.3,1.59,1.57,8.5,1500,0.073
8.48,9.68,396.5,35.9,28.4,1.93,8.06,1740,0.083
8.5,9.61,398.1,36.7,10.47,1.91,8.06,1740,0.08
8.47,9.87,401.4,35.9,5.88,1.87,7.84,1690,0.077
8.42,9.97,498.4,27.2,1.74,1.94,7.55,1200,0.076
8.43,9.97,487.5,26.1,2.11,1.96,7.55,1200,0.085
8.39,9.84,496.9,27.4,2.33,1.95,7.57,1190,0.084
8.42,9.9,489.7,32.5,2.19,2,7.57,1190,0.087
8.41,9.78,483.6,27.8,1.78,1.97,7.57,1190,0.005
8.41,9.74,493.7,26.2,2.06,1.96,7.57,1190,0.005
8.39,9.78,495.1,24.9,1.98,1.99,7.6,1220,0.005
8.38,9.82,496.6,24.8,2.15,1.97,7.6,1220,0.005
8.39,9.9,482.8,24.4,1.8,1.98,7.6,1220,0.126
8.11,9.79,486.5,24.3,1.98,2.02,7.6,1220,0.08
8.04,9.79,491.7,25.5,1.62,1.96,7.6,1220,0.083
8.02,9.85,495.4,25.6,1.75,1.97,7.63,1500,0.081
8.04,9.9,490.1,25.1,2.08,1.98,7.63,1500,0.082
8.07,10.32,488.5,29.6,1.99,2,7.66,1520,0.094
8.07,10.33,495,29,2,2.02,7.66,1520,0.092
8.06,10.44,496.4,30.2,1.99,2.02,7.53,1510,0.095
8.05,10.42,496.9,32.4,1.78,2.01,7.53,1510,0.086
8.09,10.44,497,36.7,1.66,2.02,7.53,1510,0.103
8.08,10.48,490.4,31.6,2.11,1.99,7.43,1310,0.092
7.97,10.45,484.1,28.4,1.92,2,7.943,1150,0.056
7.97,10.48,486.3,26.8,1.67,1.95,7.943,1150,0.054
7.98,10.51,497.8,26.8,1.74,1.97,7.943,1150,0.052
7.96,10.53,490.8,27.7,1.98,2,7.9335,1145,0.05
7.96,10.59,490.6,26.9,1.7,1.98,7.9335,1145,0.052
7.95,10.56,500.8,27.8,1.73,1.97,7.9335,1145,0.056
7.98,10.8,494.3,27.8,1.52,1.97,7.915,1185,0.104
7.97,10.78,495,27.4,1.76,1.95,7.915,1185,0.088
8.19,10.4,486.7,24.4,1.35,2.01,7.955,1230,0.059
8.2,10.28,470.8,24.2,2.32,1.95,7.955,1230,0.058
8.2,10.28,480.8,24,1.14,1.96,7.955,1230,0.061
8.19,10.33,484,23.7,1.75,1.97,7.985,1094.5,0.062
8.21,10.37,484.9,22.4,1.73,1.97,7.985,1094.5,0.056
8.2,10.44,481.7,22.7,1.49,1.96,7.985,1094.5,0.066
8.2,10.44,485.7,23.1,1.76,1.99,7.985,1094.5,0.063
8.2,10.52,486.9,24.8,2.09,1.97,8.11,808.5,0.077
8.21,10.51,486.8,25.7,1.49,2,8.11,808.5,0.069
8.21,10.54,486.6,25.8,1.96,2.01,8.11,808.5,0.075
8.16,11.08,408.8,21.1,2.49,2.16,10.38,3155,0.096
8.17,11.03,411.1,22.2,2.43,2.19,10.49,3750,0.085
8.17,11,408.5,21.7,2.43,2.19,10.49,3750,0.085
8.16,11.05,409,22.4,2.32,2.22,10.49,3750,0.094
8.13,11,410.3,22.2,1.92,2.23,10.66,4215,0.095
